City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,tessalit,20.1986,1.0114,25.32,16,92,3.7,ML,1670192281
124,dikson,73.5069,80.5464,-1.61,85,100,9.86,RU,1670192282
125,namibe,-15.1961,12.1522,21.08,83,93,4.1,AO,1670192283
126,hithadhoo,-0.6,73.0833,27.66,76,100,4.77,MV,1670192283
127,honiara,-9.4333,159.95,27.15,83,100,2.56,SB,1670192284
128,plettenberg bay,-34.0527,23.3716,14.16,85,47,2.88,ZA,1670192284
129,ribeira grande,38.5167,-28.7,14.32,77,100,1.34,PT,1670192285
130,chushan,33.2955,113.6528,0.51,44,36,0.97,CN,1670192285
131,ranot,7.7777,100.3213,24.72,94,100,7.8,TH,1670192286
132,port-gentil,-0.7193,8.7815,25.98,94,20,2.06,GA,1670192286
133,datong,40.0936,113.2914,-9.21,34,0,0.87,CN,1670192286
134,caravelas,-17.7125,-39.2481,23.52,74,100,3.88,BR,1670192287
135,stabat,3.761,98.4513,24.11,97,97,0.96,ID,1670192288
136,naze,28.3667,129.4833,19.51,87,81,6.12,JP,1670192288
137,puerto ayora,-0.7393,-90.3518,25.98,88,75,2.68,EC,1670192289
138,bethel,41.3712,-73.414,4.72,58,0,0.0,US,1670192289
139,bandarbeyla,9.4942,50.8122,24.92,68,38,8.06,SO,1670192290
140,palmer,42.1584,-72.3287,3.03,59,75,2.06,US,1670192290
141,yulara,-25.2406,130.9889,28.87,17,1,5.52,AU,1670192290
142,coihaique,-45.5752,-72.0662,13.34,71,100,1.54,CL,1670191936
143,brora,58.0099,-3.8518,3.36,72,90,6.24,GB,1670192291
144,gasa,31.5,34.4667,19.08,67,0,4.2,PS,1670192192
145,codrington,-38.2667,141.9667,13.12,82,100,8.28,AU,1670192292
146,barrow,71.2906,-156.7887,-5.99,86,100,9.77,US,1670192292
147,wamba,8.9333,8.6,25.4,29,1,2.05,NG,1670192293
148,norman wells,65.282,-126.8329,-21.98,77,20,1.03,CA,1670192293
149,kirakira,-10.4544,161.9205,27.51,80,100,3.91,SB,1670192294
150,abnub,27.2696,31.1511,15.97,58,0,4.15,EG,1670192294
151,sault sainte marie,46.5168,-84.3333,-1.69,74,100,4.63,CA,1670192103
152,mount isa,-20.7333,139.5,28.87,28,0,2.57,AU,1670192295
153,hargeysa,9.56,44.065,15.29,64,30,4.14,SO,1670192295
154,chuy,-33.6971,-53.4616,20.82,82,8,3.82,UY,1670192295
155,faya,18.3851,42.4509,12.06,80,1,1.29,SA,1670192296
156,miami beach,25.7906,-80.1301,26.12,63,20,4.12,US,1670191563
157,broken hill,-31.95,141.4333,21.44,39,99,6.99,AU,1670192297
158,talaya,61.3833,152.75,-32.5,99,100,0.18,RU,1670192297
159,yurty,56.0498,97.6348,-20.2,95,61,1.84,RU,1670192298
160,pucallpa,-8.3791,-74.5539,30.02,58,20,3.09,PE,1670192298
161,russell,32.3502,-85.1999,19.11,72,0,3.09,US,1670192140
162,casma,-41.0082,-73.1244,19.6,52,96,1.34,CL,1670192299
163,faanui,-16.4833,-151.75,26.74,77,13,6.74,PF,1670192299
164,masty,53.4122,24.5387,-3.73,91,98,6.52,BY,1670192300
165,ancud,-41.8697,-73.8203,13.75,85,99,5.54,CL,1670192300
166,teya,60.3778,92.6267,-21.85,99,100,1.65,RU,1670192301
167,never,46.9896,3.159,2.86,95,100,2.32,FR,1670192301
168,nizhniy odes,63.6445,54.856,-23.21,100,44,0.47,RU,1670192301
169,new norfolk,-42.7826,147.0587,12.72,71,100,1.79,AU,1670192302
170,jiangyou,31.7667,104.7167,4.71,91,8,0.17,CN,1670192303
171,lorengau,-2.0226,147.2712,26.88,82,100,2.13,PG,1670192304
172,vestmannaeyjar,63.4427,-20.2734,2.55,93,20,6.17,IS,1670192304
173,linxia,35.6003,103.2064,-5.48,55,0,0.53,CN,1670192305
174,filingue,14.3521,3.3168,27.96,20,13,3.75,NE,1670192305
175,zemio,5.0314,25.1361,23.15,48,93,1.1,CF,1670192305
176,sabha,27.0377,14.4283,19.85,22,1,4.47,LY,1670192306
177,ginda,30.6945,78.4932,6.99,18,0,3.15,IN,1670192306
178,lobito,-12.3481,13.5456,24.68,83,100,0.67,AO,1670192307
